PLAYER,TEAM,GP,PTS,AST,REB,STL,BLK
Zaccharie Risacher,ATL,62,10.0,1.1,3.8,0.9,0.5
Neemias Queta,BOS,70,9.9,1.6,8.3,0.8,1.3
Ausar Thompson,DET,67,9.9,2.9,5.8,2.0,0.9
Aaron Wiggins,OKC,59,9.8,1.7,3.2,0.9,0.4
Jordan Miller,LAC,54,9.7,2.2,3.1,0.8,0.2
AJ Green,MIL,71,9.7,1.9,2.6,0.5,0.1
Precious Achiuwa,SAC,67,9.6,1.3,6.5,0.9,0.7
Will Riley,WAS,67,9.5,1.8,2.7,0.6,0.1
Marcus Smart,LAL,60,9.5,2.8,2.8,1.4,0.4
T.J. McConnell,IND,56,9.4,5.1,2.2,1.0,0.2
Jay Huff,IND,75,9.3,1.3,3.8,0.5,1.8
Isaac Okoro,CHI,59,9.2,1.5,2.8,0.7,0.5
Jaden Hardy,WAS,53,9.1,0.8,1.6,0.3,0.1
Corey Kispert,ATL,54,9.1,1.6,2.4,0.3,0.1
Daniss Jenkins,DET,66,9.0,3.6,2.2,0.9,0.2
Davion Mitchell,MIA,65,9.0,6.5,2.7,1.0,0.2
Gui Santos,GSW,64,8.9,2.3,3.9,0.9,0.3
Danny Wolf,BKN,57,8.9,2.2,4.9,0.5,0.6
Jordan Clarkson,NYK,66,8.9,1.3,1.7,0.4,0.1
Sam Hauser,BOS,72,8.9,1.4,3.8,0.5,0.3
Day'Ron Sharpe,BKN,62,8.7,2.3,6.7,1.1,0.4
Jordan Goodwin,PHX,66,8.7,2.2,4.9,1.6,0.2
Cason Wallace,OKC,73,8.6,2.6,3.1,2.0,0.4
Draymond Green,GSW,62,8.6,5.4,5.5,0.9,0.6
Vít Krejčí,POR,64,8.6,1.6,2.3,0.7,0.3
Justin Champagnie,WAS,64,8.4,1.2,5.4,0.8,0.6
Simone Fontecchio,MIA,67,8.4,1.4,3.0,0.5,0.1
Luguentz Dort,OKC,63,8.3,1.2,3.7,0.8,0.4
Jake LaRavia,LAL,76,8.3,1.8,3.8,1.2,0.4
Gary Trent Jr.,MIL,63,8.3,1.2,1.1,0.5,0.0
Jared McCain,OKC,61,8.3,1.3,2.1,0.5,0.1
Brook Lopez,LAC,69,8.2,1.3,3.4,0.6,1.2
Cody Williams,UTA,61,8.1,1.7,2.8,0.7,0.4
Jonas Valančiūnas,DEN,59,8.1,1.2,4.8,0.2,0.5
Luke Kennard,LAL,72,8.1,1.9,2.2,0.6,0.1
Ronald Holland II,DET,72,8.1,1.3,4.1,1.2,0.3
Moussa Diabaté,CHA,68,8.1,1.9,8.8,0.8,1.0
Bones Hyland,MIN,66,8.0,2.6,1.6,0.6,0.2
Dominick Barlow,PHI,64,7.9,1.3,4.7,0.9,0.7
Nique Clifford,SAC,69,7.8,2.2,3.6,0.9,0.3
Bruce Brown,DEN,76,7.8,2.1,3.8,1.0,0.2
Ryan Kalkbrenner,CHA,63,7.7,0.8,5.5,0.5,1.4
Luka Garza,BOS,65,7.7,1.0,4.0,0.4,0.4
Quinten Post,GSW,67,7.7,1.4,4.0,0.4,0.5
Paul Reed,DET,59,7.5,1.2,4.4,0.9,0.9
Caris LeVert,DET,55,7.5,2.7,2.0,0.9,0.7
Kris Dunn,LAC,76,7.4,3.6,3.3,1.6,0.2
Walter Clayton Jr.,MEM,65,7.4,3.9,2.0,0.7,0.3
Jaylin Williams,OKC,61,7.4,2.4,5.6,0.5,0.7
Gary Payton II,GSW,67,7.3,1.7,3.6,0.9,0.3
Jaxson Hayes,LAL,64,7.2,0.9,4.2,0.5,0.8
Terance Mann,BKN,62,7.2,3.0,3.2,0.7,0.2
Ja'Kobe Walter,TOR,65,7.2,1.1,2.4,1.0,0.2
Taylor Hendricks,MEM,56,7.2,0.9,3.7,0.8,0.5
Jose Alvarado,NYK,65,7.2,3.3,2.4,0.9,0.1
Ben Sheppard,IND,63,7.0,1.7,3.0,0.6,0.1
Kobe Sanders,LAC,62,6.9,1.6,2.3,0.7,0.1
Pat Spencer,GSW,59,6.9,3.5,2.3,0.7,0.1
Javonte Green,DET,76,6.9,0.7,2.7,1.3,0.3
Will Richard,GSW,64,6.9,1.4,2.5,1.2,0.1
Isaiah Jackson,LAC,55,6.7,0.9,5.3,0.7,0.9
Patrick Williams,CHI,65,6.7,1.3,2.8,0.6,0.3
Robert Williams III,POR,54,6.7,1.0,6.9,0.6,1.5
Luke Kornet,SAS,63,6.6,1.8,6.2,0.4,1.0
Oso Ighodaro,PHX,76,6.5,2.3,5.0,0.9,0.6
Keon Ellis,CLE,67,6.5,0.9,1.8,1.2,0.7
Jamal Shead,TOR,75,6.5,5.4,1.8,0.9,0.2
Andre Drummond,PHI,56,6.4,1.1,8.4,0.6,0.8
Drake Powell,BKN,58,6.3,1.4,1.7,0.5,0.2
Ryan Nembhard,DAL,55,6.3,4.9,1.9,0.4,0.0
Gradey Dick,TOR,70,6.2,0.7,2.0,0.6,0.1
Justin Edwards,PHI,58,6.1,1.3,1.5,0.8,0.2
Thomas Bryant,CLE,58,6.1,0.5,3.3,0.3,0.4
Ryan Dunn,PHX,65,5.9,1.4,4.3,0.9,0.4
Dean Wade,CLE,57,5.8,1.5,4.2,0.8,0.4
Dru Smith,MIA,68,5.7,2.6,2.5,1.4,0.3
Karlo Matković,NOP,62,5.7,0.8,3.7,0.4,0.9
Goga Bitadze,ORL,57,5.6,1.3,4.7,0.6,0.9
Jett Howard,ORL,53,5.6,0.8,1.6,0.2,0.2
Nae'Qwan Tomlin,CLE,60,5.5,0.8,2.7,0.7,0.5
Yves Missi,NOP,63,5.5,1.3,5.7,0.3,1.5
Spencer Jones,DEN,64,5.5,0.8,3.3,0.8,0.5
Mitchell Robinson,NYK,57,5.4,0.9,8.7,0.9,1.1
Sidy Cissoko,POR,70,5.4,1.5,2.3,0.7,0.4
Rob Dillingham,CHI,58,5.4,2.2,1.7,0.7,0.1
Sion James,CHA,76,5.3,2.0,3.4,0.6,0.3
